SMILES_Ligands,Counterion,Abbreviation_in_the_article,IC50_Dark(M*10^-6),IC50_Dark_standard_error(M*10^-6),IC50_Dark_value,IC50_Light(M*10^-6),IC50_Light_standard_error(M*10^-6),IC50_Light_value,Excitation_Wavelength(nm),Irradiation_Time(minutes),Irradiation_Power(W*m^-2),Cell_line,Time(h),DOI,Year,IC50_Cisplatin(M*10^-6),IC50_Cisplatin_standard_error(M*10^-6),IC50_Cisplatin_value,IC50_class,num_ligands,Scaffold
[O-]c1ccccc1/C=N/c1ccccc1.c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1,Cl([O-])(=O)(=O)=O,Ru-2,24.21,0.82,24.21,,,,,,,SGC-7901,48.0,10.1080/00958972.2018.1469749,2018,,,,0,3,C(=N/c1ccccc1)\c1ccccc1.c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1
[O-]c1ccccc1/C=N/c1ccccc1.c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1,Cl([O-])(=O)(=O)=O,Ru-2,17.99,1.01,17.99,,,,,,,MCF-7,48.0,10.1080/00958972.2018.1469749,2018,,,,0,3,C(=N/c1ccccc1)\c1ccccc1.c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1
N=C([S-])N/N=C/c1ccccn1.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,[Cl-],1,16.13,1.08,16.13,,,,,,,HeLa,96.0,10.1002/cmdc.202200444,2022,,,,0,4,c1ccncc1.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1
N=C([S-])N/N=C/c1cccs1.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,[Cl-],2,2.41,1.04,2.41,,,,,,,HeLa,96.0,10.1002/cmdc.202200444,2022,,,,1,4,c1ccsc1.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1
OCCCCC/N=C/c1nc2ccccc2s1.[Cl-].[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,,3,6.29,1.1,6.29,,,,,,,HeLa,96.0,10.1002/cmdc.202200444,2022,,,,1,5,c1ccc2scnc2c1.[Cl-].[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1
N=C([S-])N/N=C/c1ccccn1.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,[Cl-],1,75.50,1.16,75.5,,,,,,,HCC70,96.0,10.1002/cmdc.202200444,2022,,,,0,4,c1ccncc1.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1
N=C([S-])N/N=C/c1cccs1.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,[Cl-],2,6.26,1.06,6.26,,,,,,,HCC70,96.0,10.1002/cmdc.202200444,2022,,,,1,4,c1ccsc1.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1
OCCCCC/N=C/c1nc2ccccc2s1.[Cl-].[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,,3,9.51,1.1,9.51,,,,,,,HCC70,96.0,10.1002/cmdc.202200444,2022,,,,1,5,c1ccc2scnc2c1.[Cl-].[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1
N=C([S-])N/N=C/c1ccccn1.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,[Cl-],1,5.20,1.058,5.2,,,,,,,MCF-7,96.0,10.1002/cmdc.202200444,2022,,,,1,4,c1ccncc1.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1
N=C([S-])N/N=C/c1cccs1.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,[Cl-],2,9.26,1.08,9.26,,,,,,,MCF-7,96.0,10.1002/cmdc.202200444,2022,,,,1,4,c1ccsc1.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1
OCCCCC/N=C/c1nc2ccccc2s1.[Cl-].[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,,3,8.87,1.12,8.87,,,,,,,MCF-7,96.0,10.1002/cmdc.202200444,2022,,,,1,5,c1ccc2scnc2c1.[Cl-].[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1
N=C([S-])N/N=C/c1ccccn1.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,[Cl-],1,60.05,1.32,60.05,,,,,,,MCF-12A,96.0,10.1002/cmdc.202200444,2022,,,,0,4,c1ccncc1.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1
N=C([S-])N/N=C/c1cccs1.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,[Cl-],2,37.12,1.08,37.12,,,,,,,MCF-12A,96.0,10.1002/cmdc.202200444,2022,,,,0,4,c1ccsc1.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1
OCCCCC/N=C/c1nc2ccccc2s1.[Cl-].[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,,3,36.54,1.08,36.54,,,,,,,MCF-12A,96.0,10.1002/cmdc.202200444,2022,,,,0,5,c1ccc2scnc2c1.[Cl-].[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1
c1ccc(-c2cc3ccccc3s2)nc1.c1cnc2c(c1)ccc1cccnc12.c1cnc2c(c1)ccc1cccnc12,S([O-])(=O)(=O)C(F)(F)F.S([O-])(=O)(=O)C(F)(F)F,1,2.2,0.65,2.2,,,,,,,A2780,72.0,10.1016/j.jinorgbio.2022.112058,2023,2.2,0.5,2.2,1,3,c1ccc(-c2cc3ccccc3s2)nc1.c1cnc2c(c1)ccc1cccnc12.c1cnc2c(c1)ccc1cccnc12
c1ccc(-c2cc3ccccc3s2)nc1.c1cnc2c(c1)ccc1cccnc12.c1cnc2c(c1)ccc1cccnc12,S([O-])(=O)(=O)C(F)(F)F.S([O-])(=O)(=O)C(F)(F)F,1,7.87,0.17,7.87,,,,,,,COLO-205,72.0,10.1016/j.jinorgbio.2022.112058,2023,,,,1,3,c1ccc(-c2cc3ccccc3s2)nc1.c1cnc2c(c1)ccc1cccnc12.c1cnc2c(c1)ccc1cccnc12
c1ccc(-c2cc3ccccc3s2)nc1.c1cnc2c(c1)ccc1cccnc12.c1cnc2c(c1)ccc1cccnc12,S([O-])(=O)(=O)C(F)(F)F.S([O-])(=O)(=O)C(F)(F)F,1,74.4,3.3,74.4,,,,,,,Colo-320,72.0,10.1016/j.jinorgbio.2022.112058,2023,,,,0,3,c1ccc(-c2cc3ccccc3s2)nc1.c1cnc2c(c1)ccc1cccnc12.c1cnc2c(c1)ccc1cccnc12
c1ccc(-c2cc3ccccc3s2)nc1.c1cnc2c(c1)ccc1cccnc12.c1cnc2c(c1)ccc1cccnc12,S([O-])(=O)(=O)C(F)(F)F.S([O-])(=O)(=O)C(F)(F)F,1,47.6,3.8,47.6,,,,,,,MRC-5,72.0,10.1016/j.jinorgbio.2022.112058,2023,,,,0,3,c1ccc(-c2cc3ccccc3s2)nc1.c1cnc2c(c1)ccc1cccnc12.c1cnc2c(c1)ccc1cccnc12
c1ccc(-c2nc3ccccc3[nH]2)nc1.c1cnc2c(c1)ccc1cccnc12.c1cnc2c(c1)ccc1cccnc12,S([O-])(=O)(=O)C(F)(F)F.S([O-])(=O)(=O)C(F)(F)F,2,18.0,3.6,18.0,,,,,,,A2780,72.0,10.1016/j.jinorgbio.2022.112058,2023,2.2,0.5,2.2,0,3,c1ccc(-c2nc3ccccc3[nH]2)nc1.c1cnc2c(c1)ccc1cccnc12.c1cnc2c(c1)ccc1cccnc12
c1ccc(-c2nc3ccccc3[nH]2)nc1.c1cnc2c(c1)ccc1cccnc12.c1cnc2c(c1)ccc1cccnc12,S([O-])(=O)(=O)C(F)(F)F.S([O-])(=O)(=O)C(F)(F)F,2,30.9,3.6,30.9,,,,,,,COLO-205,72.0,10.1016/j.jinorgbio.2022.112058,2023,,,,0,3,c1ccc(-c2nc3ccccc3[nH]2)nc1.c1cnc2c(c1)ccc1cccnc12.c1cnc2c(c1)ccc1cccnc12
c1ccc(-c2nc3ccccc3[nH]2)nc1.c1cnc2c(c1)ccc1cccnc12.c1cnc2c(c1)ccc1cccnc12,S([O-])(=O)(=O)C(F)(F)F.S([O-])(=O)(=O)C(F)(F)F,2,>100,,100.0,,,,,,,Colo-320,72.0,10.1016/j.jinorgbio.2022.112058,2023,,,,0,3,c1ccc(-c2nc3ccccc3[nH]2)nc1.c1cnc2c(c1)ccc1cccnc12.c1cnc2c(c1)ccc1cccnc12
c1ccc(-c2nc3ccccc3[nH]2)nc1.c1cnc2c(c1)ccc1cccnc12.c1cnc2c(c1)ccc1cccnc12,S([O-])(=O)(=O)C(F)(F)F.S([O-])(=O)(=O)C(F)(F)F,2,>100,,100.0,,,,,,,MRC-5,72.0,10.1016/j.jinorgbio.2022.112058,2023,,,,0,3,c1ccc(-c2nc3ccccc3[nH]2)nc1.c1cnc2c(c1)ccc1cccnc12.c1cnc2c(c1)ccc1cccnc12
OCc1ccnc(-c2cc(CO)ccn2)c1.c1cc[cH-]c1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,S([O-])(=O)(=O)C(F)(F)F,PMC79,40.0,2.0,40.0,,,,,,,SW480,48.0,10.3390/pharmaceutics15061731,2023,,,,0,3,c1ccc(-c2ccccn2)nc1.c1cc[cH-]c1.c1ccc(P(c2ccccc2)c2ccccc2)cc1
