,L1,L2,L3,L4,Counterion,Abbreviation_in_the_article,IC50Dark(M*10^-6),IC50Dark_standard_error(M*10^-6),IC50Light(M*10^-6),IC50Light_standard_error(M*10^-6),Excitation_Wavelength(nm),Irradiation_Time(minutes),Irradiation_Power(W*m^-2),Cell_line,Time(h),DOI,Year,Comments
4253,[c-]1ccccc1-c1nccc2cc3c(cc12)OCO3,[c-]1ccccc1-c1nccc2cc3c(cc12)OCO3,c1ccc(Nc2ccccn2)nc1,,F[P-](F)(F)(F)(F)F,Ir1,1.82,0.1,,,,,,MDA-MB-231,48.0,10.1016/j.apsb.2024.06.017,2025,
4254,[c-]1ccccc1-c1nccc2cc3c(cc12)OCO3,[c-]1ccccc1-c1nccc2cc3c(cc12)OCO3,c1cnc2c(c1)ccc1cccnc12,,F[P-](F)(F)(F)(F)F,Ir2,1.73,0.14,,,,,,MDA-MB-231,48.0,10.1016/j.apsb.2024.06.017,2025,
4255,[c-]1ccccc1-c1nccc2cc3c(cc12)OCO3,[c-]1ccccc1-c1nccc2cc3c(cc12)OCO3,c1ccc(-c2nc3ccccc3[nH]2)nc1,,F[P-](F)(F)(F)(F)F,Ir3,7.14,0.25,,,,,,MDA-MB-231,48.0,10.1016/j.apsb.2024.06.017,2025,
4256,[c-]1ccccc1-c1nccc2cc3c(cc12)OCO3,[c-]1ccccc1-c1nccc2cc3c(cc12)OCO3,c1ccc(-c2ccccn2)nc1,,F[P-](F)(F)(F)(F)F,Ir4,2.50,0.17,,,,,,MDA-MB-231,48.0,10.1016/j.apsb.2024.06.017,2025,
4257,[c-]1ccccc1-c1nccc2cc3c(cc12)OCO3,[c-]1ccccc1-c1nccc2cc3c(cc12)OCO3,NCc1ccccn1,,[Cl-],Ir5,3.13,0.22,,,,,,MDA-MB-231,48.0,10.1016/j.apsb.2024.06.017,2025,
4258,Cc1c(C)c(C)[c-](C)c1C,O=[N+]([O-])c1ccc(/C=C/c2ccc3cccc([O-])c3n2)cc1,[Cl-],,,1,18.76,0.11,,,,,,MDA-MB-231,24.0,10.1016/j.dyepig.2023.111146,2023,
4259,Cc1c(C)c(C)[c-](-c2ccccc2)c1C,O=[N+]([O-])c1ccc(/C=C/c2ccc3cccc([O-])c3n2)cc1,[Cl-],,,2,14.33,0.09,,,,,,MDA-MB-231,24.0,10.1016/j.dyepig.2023.111146,2023,
4260,Cc1c(C)c(C)[c-](-c2ccc(-c3ccccc3)cc2)c1C,O=[N+]([O-])c1ccc(/C=C/c2ccc3cccc([O-])c3n2)cc1,[Cl-],,,3,41.3,0.17,,,,,,MDA-MB-231,24.0,10.1016/j.dyepig.2023.111146,2023,
4261,Cc1c(C)c(C)[c-](C)c1C,O=[N+]([O-])c1ccc(/C=C/c2ccc3cccc([O-])c3n2)cc1,[Cl-],,,1,13.95,0.12,,,,,,MCF-7,24.0,10.1016/j.dyepig.2023.111146,2023,
4262,Cc1c(C)c(C)[c-](-c2ccccc2)c1C,O=[N+]([O-])c1ccc(/C=C/c2ccc3cccc([O-])c3n2)cc1,[Cl-],,,2,5.82,0.08,,,,,,MCF-7,24.0,10.1016/j.dyepig.2023.111146,2023,
4263,Cc1c(C)c(C)[c-](-c2ccc(-c3ccccc3)cc2)c1C,O=[N+]([O-])c1ccc(/C=C/c2ccc3cccc([O-])c3n2)cc1,[Cl-],,,3,22.30,0.28,,,,,,MCF-7,24.0,10.1016/j.dyepig.2023.111146,2023,
4264,Cc1c(C)c(C)[c-](C)c1C,O=[N+]([O-])c1ccc(/C=C/c2ccc3cccc([O-])c3n2)cc1,[Cl-],,,1,100,0.22,,,,,,A549,24.0,10.1016/j.dyepig.2023.111146,2023,
4265,Cc1c(C)c(C)[c-](-c2ccccc2)c1C,O=[N+]([O-])c1ccc(/C=C/c2ccc3cccc([O-])c3n2)cc1,[Cl-],,,2,8.13,0.06,,,,,,A549,24.0,10.1016/j.dyepig.2023.111146,2023,
4266,Cc1c(C)c(C)[c-](-c2ccc(-c3ccccc3)cc2)c1C,O=[N+]([O-])c1ccc(/C=C/c2ccc3cccc([O-])c3n2)cc1,[Cl-],,,3,20.18,0.18,,,,,,A549,24.0,10.1016/j.dyepig.2023.111146,2023,
4267,Cc1c(C)c(C)[c-](C)c1C,O=[N+]([O-])c1ccc(/C=C/c2ccc3cccc([O-])c3n2)cc1,[Cl-],,,1,24.39,0.2,,,,,,HeLa,24.0,10.1016/j.dyepig.2023.111146,2023,
4268,Cc1c(C)c(C)[c-](-c2ccccc2)c1C,O=[N+]([O-])c1ccc(/C=C/c2ccc3cccc([O-])c3n2)cc1,[Cl-],,,2,5.64,0.1,,,,,,HeLa,24.0,10.1016/j.dyepig.2023.111146,2023,
4269,Cc1c(C)c(C)[c-](-c2ccc(-c3ccccc3)cc2)c1C,O=[N+]([O-])c1ccc(/C=C/c2ccc3cccc([O-])c3n2)cc1,[Cl-],,,3,19.40,0.19,,,,,,HeLa,24.0,10.1016/j.dyepig.2023.111146,2023,
4270,Cc1c(C)c(C)[c-](C)c1C,O=[N+]([O-])c1ccc(/C=C/c2ccc3cccc([O-])c3n2)cc1,[Cl-],,,1,26.37,0.25,,,,,,HepG2,24.0,10.1016/j.dyepig.2023.111146,2023,
4271,Cc1c(C)c(C)[c-](-c2ccccc2)c1C,O=[N+]([O-])c1ccc(/C=C/c2ccc3cccc([O-])c3n2)cc1,[Cl-],,,2,23.66,0.22,,,,,,HepG2,24.0,10.1016/j.dyepig.2023.111146,2023,
4272,Cc1c(C)c(C)[c-](-c2ccc(-c3ccccc3)cc2)c1C,O=[N+]([O-])c1ccc(/C=C/c2ccc3cccc([O-])c3n2)cc1,[Cl-],,,3,51.87,0.24,,,,,,HepG2,24.0,10.1016/j.dyepig.2023.111146,2023,
4273,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/c2nc3c4cccnc4c4ncccc4c3[nH]2)C(C)(C)CCC1,,F[P-](F)(F)(F)(F)F,Ir1,0.4,0.1,,,,,,B16,48.0,10.1016/j.ejmech.2022.115046,2023,
4274,[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/c2nc3c4cccnc4c4ncccc4c3[nH]2)C(C)(C)CCC1,,F[P-](F)(F)(F)(F)F,Ir2,2.0,0.1,,,,,,B16,48.0,10.1016/j.ejmech.2022.115046,2023,
4275,[c-]1cccc2ccc3cccnc3c12,[c-]1cccc2ccc3cccnc3c12,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/c2nc3c4cccnc4c4ncccc4c3[nH]2)C(C)(C)CCC1,,F[P-](F)(F)(F)(F)F,Ir3,1.4,0.09,,,,,,B16,48.0,10.1016/j.ejmech.2022.115046,2023,
4276,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/c2nc3c4cccnc4c4ncccc4c3[nH]2)C(C)(C)CCC1,,F[P-](F)(F)(F)(F)F,Ir1,5.2,0.06,,,,,,BEL-7402,48.0,10.1016/j.ejmech.2022.115046,2023,
4277,[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/c2nc3c4cccnc4c4ncccc4c3[nH]2)C(C)(C)CCC1,,F[P-](F)(F)(F)(F)F,Ir2,19.2,0.4,,,,,,BEL-7402,48.0,10.1016/j.ejmech.2022.115046,2023,
4278,[c-]1cccc2ccc3cccnc3c12,[c-]1cccc2ccc3cccnc3c12,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/c2nc3c4cccnc4c4ncccc4c3[nH]2)C(C)(C)CCC1,,F[P-](F)(F)(F)(F)F,Ir3,6.1,0.03,,,,,,BEL-7402,48.0,10.1016/j.ejmech.2022.115046,2023,
4279,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/c2nc3c4cccnc4c4ncccc4c3[nH]2)C(C)(C)CCC1,,F[P-](F)(F)(F)(F)F,Ir1,2.5,0.07,,,,,,EC109,48.0,10.1016/j.ejmech.2022.115046,2023,
4280,[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/c2nc3c4cccnc4c4ncccc4c3[nH]2)C(C)(C)CCC1,,F[P-](F)(F)(F)(F)F,Ir2,4.8,0.4,,,,,,EC109,48.0,10.1016/j.ejmech.2022.115046,2023,
4281,[c-]1cccc2ccc3cccnc3c12,[c-]1cccc2ccc3cccnc3c12,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/c2nc3c4cccnc4c4ncccc4c3[nH]2)C(C)(C)CCC1,,F[P-](F)(F)(F)(F)F,Ir3,3.6,0.05,,,,,,EC109,48.0,10.1016/j.ejmech.2022.115046,2023,
4282,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/c2nc3c4cccnc4c4ncccc4c3[nH]2)C(C)(C)CCC1,,F[P-](F)(F)(F)(F)F,Ir1,7.1,0.2,,,,,,LO2,48.0,10.1016/j.ejmech.2022.115046,2023,
4283,[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/c2nc3c4cccnc4c4ncccc4c3[nH]2)C(C)(C)CCC1,,F[P-](F)(F)(F)(F)F,Ir2,14.6,0.7,,,,,,LO2,48.0,10.1016/j.ejmech.2022.115046,2023,
4284,[c-]1cccc2ccc3cccnc3c12,[c-]1cccc2ccc3cccnc3c12,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/c2nc3c4cccnc4c4ncccc4c3[nH]2)C(C)(C)CCC1,,F[P-](F)(F)(F)(F)F,Ir3,7.5,0.4,,,,,,LO2,48.0,10.1016/j.ejmech.2022.115046,2023,
4285,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cc1cc(=O)oc2cc(/N=C/c3ccccc3[O-])ccc12,,,Ir1,54.24,5.35,,,,,,A549,24.0,10.3389/fchem.2022.906954,2022,
4286,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,O=c1cc(C(F)(F)F)c2ccc(/N=C/c3ccccc3[O-])cc2o1,,,Ir2,15.45,0.14,,,,,,A549,24.0,10.3389/fchem.2022.906954,2022,
4287,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,O=c1ccc2cc(/N=C/c3ccccc3[O-])ccc2o1,,,Ir3,37.84,10.78,,,,,,A549,24.0,10.3389/fchem.2022.906954,2022,
4288,O=Cc1c[c-]c(-c2ccccn2)cc1,O=Cc1c[c-]c(-c2ccccn2)cc1,Cc1cc(=O)oc2cc(/N=C/c3ccccc3[O-])ccc12,,,Ir4,72.18,2.54,,,,,,A549,24.0,10.3389/fchem.2022.906954,2022,
4289,O=Cc1c[c-]c(-c2ccccn2)cc1,O=Cc1c[c-]c(-c2ccccn2)cc1,O=c1cc(C(F)(F)F)c2ccc(/N=C/c3ccccc3[O-])cc2o1,,,Ir5,20.99,1.41,,,,,,A549,24.0,10.3389/fchem.2022.906954,2022,
4290,O=Cc1c[c-]c(-c2ccccn2)cc1,O=Cc1c[c-]c(-c2ccccn2)cc1,O=c1ccc2cc(/N=C/c3ccccc3[O-])ccc2o1,,,Ir6,40.38,0.28,,,,,,A549,24.0,10.3389/fchem.2022.906954,2022,
4291,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,[O-]c1ccccc1/C=N/c1ccccc1,,,Ir7,>100,,,,,,,A549,24.0,10.3389/fchem.2022.906954,2022,
4292,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,O=c1cc(C(F)(F)F)c2ccc(/N=C/c3ccccc3[O-])cc2o1,,,Ir2,78.14,2.41,,,,,,BEAS-2B,24.0,10.3389/fchem.2022.906954,2022,
4293,O=Cc1c[c-]c(-c2ccccn2)cc1,O=Cc1c[c-]c(-c2ccccn2)cc1,O=c1cc(C(F)(F)F)c2ccc(/N=C/c3ccccc3[O-])cc2o1,,,Ir5,83.23,4.11,,,,,,BEAS-2B,24.0,10.3389/fchem.2022.906954,2022,
4294,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,FC(F)(F)c1cc(-c2cc(-c3ccccn3)nc(-c3ccccn3)c2)cc(C(F)(F)F)c1,,[Cl-],IrC,4.3,,,,,,,A375,24.0,10.1039/d3qi00841j,2023,The standart error value is not specified in the source article
4295,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,FC(F)(F)c1cc(-c2cc(-c3ccccn3)nc(-c3ccccn3)c2)cc(C(F)(F)F)c1,,[Cl-],IrC,2.6,,,,,,,A375,48.0,10.1039/d3qi00841j,2023,The standart error value is not specified in the source article
4296,Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,CCCCNC(=O)c1ccnc(-c2cc(C(=O)NCCCC)ccn2)c1,,[Cl-],2a-Cl,3.73,0.76,,,,,,A549,72.0,10.1039/d3dt00028a,2023,
4297,O=Cc1c(F)c[c-]c(-c2ccccn2)c1F,O=Cc1c(F)c[c-]c(-c2ccccn2)c1F,CCCCNC(=O)c1ccnc(-c2cc(C(=O)NCCCC)ccn2)c1,,F[P-](F)(F)(F)(F)F,2b-PF6,27.17,1.44,,,,,,A549,72.0,10.1039/d3dt00028a,2023,
4298,Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,O=C(O)c1cccnc1-c1ncccc1C(=O)O,,F[P-](F)(F)(F)(F)F,3a-PF6,32.87,3.01,,,,,,A549,72.0,10.1039/d3dt00028a,2023,
4299,Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,CCCCNC(=O)c1ccnc(-c2cc(C(=O)NCCCC)ccn2)c1,,[Cl-],2a-Cl,5.53,0.41,,,,,,HeLa,72.0,10.1039/d3dt00028a,2023,
4300,O=Cc1c(F)c[c-]c(-c2ccccn2)c1F,O=Cc1c(F)c[c-]c(-c2ccccn2)c1F,CCCCNC(=O)c1ccnc(-c2cc(C(=O)NCCCC)ccn2)c1,,F[P-](F)(F)(F)(F)F,2b-PF6,74.6,0.72,,,,,,HeLa,72.0,10.1039/d3dt00028a,2023,
4301,Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,O=C(O)c1cccnc1-c1ncccc1C(=O)O,,F[P-](F)(F)(F)(F)F,3a-PF6,51.22,1.29,,,,,,HeLa,72.0,10.1039/d3dt00028a,2023,
4302,Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,CCCCNC(=O)c1ccnc(-c2cc(C(=O)NCCCC)ccn2)c1,,[Cl-],2a-Cl,12.32,0.21,,,,,,BEAS-2B,72.0,10.1039/d3dt00028a,2023,
4303,O=Cc1c(F)c[c-]c(-c2ccccn2)c1F,O=Cc1c(F)c[c-]c(-c2ccccn2)c1F,CCCCNC(=O)c1ccnc(-c2cc(C(=O)NCCCC)ccn2)c1,,F[P-](F)(F)(F)(F)F,2b-PF6,51.6,4.71,,,,,,BEAS-2B,72.0,10.1039/d3dt00028a,2023,
4304,Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,O=C(O)c1cccnc1-c1ncccc1C(=O)O,,F[P-](F)(F)(F)(F)F,3a-PF6,24.03,3.82,,,,,,BEAS-2B,72.0,10.1039/d3dt00028a,2023,
4305,[c-]1ccccc1-c1ccc2cc3ccccc3cc2n1,[c-]1ccccc1-c1ccc2cc3ccccc3cc2n1,CC(=O)/C=C/c1ccnc(-c2cc(/C=C/C(C)=O)ccn2)c1,,F[P-](F)(F)(F)(F)F,Ir1,9.9,,1.8,,450,10.0,20.0,HeLa,24.0,10.1039/d3dt01826a,2023,The standart error value is not specified in the source article
4306,[c-]1c(-c2nccc3ccccc23)sc2ccccc12,[c-]1c(-c2nccc3ccccc23)sc2ccccc12,CC(=O)/C=C/c1ccnc(-c2cc(/C=C/C(C)=O)ccn2)c1,,F[P-](F)(F)(F)(F)F,Ir2,6.9,,3.0,,450,10.0,20.0,HeLa,24.0,10.1039/d3dt01826a,2023,The standart error value is not specified in the source article
4307,Cc1c(C)c(C)[c-](C)c1C,Clc1cc2nc(-c3ccc4ccccc4n3)[nH]c2cc1Cl,C1N2CN3CN1CP(C2)C3,,[Cl-].[Cl-],DDIRP,23.12,0.76,2.80,0.52,>500,240.0,40.0,MDA-MB-231,48.0,10.1039/d3dt04361d,2024,The wavelength of irradiation is not specified in the source article
4308,Cc1c(C)c(C)[c-](-c2ccc(-c3ccccc3)cc2)c1C,CCCCN1C(=O)c2c3c(c4c5c(c6nc7c8cccnc8c8ncccc8c7nc6c(c25)C1=O)C(=O)N(CCCC)C4=O)NC(c1ccccc1)(c1ccccc1)N3,[Cl-],,F[P-](F)(F)(F)(F)F,Ir-NDI,38.37,3.6,2.04,0.88,635,10.0,1450.0,4T1,48.0,10.1039/d3qi02047a,2024,
4309,Cc1c(C)c(C)[c-](-c2ccc(-c3ccccc3)cc2)c1C,CCCCN1C(=O)c2c3c(c4c5c(c6nc7c8cccnc8c8ncccc8c7nc6c(c25)C1=O)C(=O)N(CCCC)C4=O)NC(c1ccccc1)(c1ccccc1)N3,[Cl-],,F[P-](F)(F)(F)(F)F,Ir-NDI,45.33,4.12,4.45,3.76,635,10.0,1450.0,LO2,48.0,10.1039/d3qi02047a,2024,
4310,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Oc1cccc2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)nc12,,F[P-](F)(F)(F)(F)F,Ir-1,5.1,0.5,,,,,,HeLa,48.0,10.1093/mtomcs/mfac068,2022,
4311,[c-]1ccsc1-c1ccccn1,[c-]1ccsc1-c1ccccn1,Oc1cccc2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)nc12,,F[P-](F)(F)(F)(F)F,Ir-2,4.7,0.3,,,,,,HeLa,48.0,10.1093/mtomcs/mfac068,2022,
4312,Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,Oc1cccc2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)nc12,,F[P-](F)(F)(F)(F)F,Ir-3,8.1,1.4,,,,,,HeLa,48.0,10.1093/mtomcs/mfac068,2022,
4313,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Oc1cccc2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)nc12,,F[P-](F)(F)(F)(F)F,Ir-1,12.9,2.2,,,,,,A549,48.0,10.1093/mtomcs/mfac068,2022,
4314,[c-]1ccsc1-c1ccccn1,[c-]1ccsc1-c1ccccn1,Oc1cccc2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)nc12,,F[P-](F)(F)(F)(F)F,Ir-2,5.5,1.1,,,,,,A549,48.0,10.1093/mtomcs/mfac068,2022,
4315,Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,Oc1cccc2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)nc12,,F[P-](F)(F)(F)(F)F,Ir-3,10.0,2.7,,,,,,A549,48.0,10.1093/mtomcs/mfac068,2022,
4316,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Oc1cccc2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)nc12,,F[P-](F)(F)(F)(F)F,Ir-1,18.1,1.9,,,,,,A549cisR,48.0,10.1093/mtomcs/mfac068,2022,
4317,[c-]1ccsc1-c1ccccn1,[c-]1ccsc1-c1ccccn1,Oc1cccc2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)nc12,,F[P-](F)(F)(F)(F)F,Ir-2,8.9,0.4,,,,,,A549cisR,48.0,10.1093/mtomcs/mfac068,2022,
4318,Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,Oc1cccc2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)nc12,,F[P-](F)(F)(F)(F)F,Ir-3,12.0,1.9,,,,,,A549cisR,48.0,10.1093/mtomcs/mfac068,2022,
4319,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Oc1cccc2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)nc12,,F[P-](F)(F)(F)(F)F,Ir-1,11.5,0.1,,,,,,HepG2,48.0,10.1093/mtomcs/mfac068,2022,
4320,[c-]1ccsc1-c1ccccn1,[c-]1ccsc1-c1ccccn1,Oc1cccc2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)nc12,,F[P-](F)(F)(F)(F)F,Ir-2,7.8,0.4,,,,,,HepG2,48.0,10.1093/mtomcs/mfac068,2022,
4321,Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,Oc1cccc2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)nc12,,F[P-](F)(F)(F)(F)F,Ir-3,10.2,0.7,,,,,,HepG2,48.0,10.1093/mtomcs/mfac068,2022,
4322,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Oc1cccc2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)nc12,,F[P-](F)(F)(F)(F)F,Ir-1,17.8,0.4,,,,,,LO2,48.0,10.1093/mtomcs/mfac068,2022,
4323,[c-]1ccsc1-c1ccccn1,[c-]1ccsc1-c1ccccn1,Oc1cccc2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)nc12,,F[P-](F)(F)(F)(F)F,Ir-2,6.9,1.9,,,,,,LO2,48.0,10.1093/mtomcs/mfac068,2022,
4324,Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,Oc1cccc2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)nc12,,F[P-](F)(F)(F)(F)F,Ir-3,9.8,1.6,,,,,,LO2,48.0,10.1093/mtomcs/mfac068,2022,
4325,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CC(C)(C)c1ccc(/N=C/c2ccccc2[NH-])cc1,,,Ir1,15.68,0.11,,,,,,A549,48.0,10.1039/d3dt03700b,2024,
4326,COc1c[c-]c(-c2ccccn2)cc1,COc1c[c-]c(-c2ccccn2)cc1,CC(C)(C)c1ccc(/N=C/c2ccccc2[NH-])cc1,,,Ir2,14.18,0.24,,,,,,A549,48.0,10.1039/d3dt03700b,2024,
4327,Cc1c[c-]c(-c2ccccn2)cc1,Cc1c[c-]c(-c2ccccn2)cc1,CC(C)(C)c1ccc(/N=C/c2ccccc2[NH-])cc1,,,Ir3,14.22,0.18,,,,,,A549,48.0,10.1039/d3dt03700b,2024,
4328,Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,CC(C)(C)c1ccc(/N=C/c2ccccc2[NH-])cc1,,,Ir4,13.97,0.05,,,,,,A549,48.0,10.1039/d3dt03700b,2024,
4329,FC(F)(F)c1c[c-]c(-c2ccccn2)cc1,FC(F)(F)c1c[c-]c(-c2ccccn2)cc1,CC(C)(C)c1ccc(/N=C/c2ccccc2[NH-])cc1,,,Ir5,13.58,0.17,,,,,,A549,48.0,10.1039/d3dt03700b,2024,
4330,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cc1ccc(/N=C/c2ccccc2[NH-])cc1,,,Ir6,14.36,0.39,,,,,,A549,48.0,10.1039/d3dt03700b,2024,
4331,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CC(C)(C)c1ccc(/N=C/c2ccccc2N)cc1,,F[P-](F)(F)(F)(F)F,Ir7,16.32,0.14,,,,,,A549,48.0,10.1039/d3dt03700b,2024,
4332,COc1c[c-]c(-c2ccccn2)cc1,COc1c[c-]c(-c2ccccn2)cc1,CC(C)(C)c1ccc(/N=C/c2ccccc2N)cc1,,F[P-](F)(F)(F)(F)F,Ir8,15.41,0.26,,,,,,A549,48.0,10.1039/d3dt03700b,2024,
4333,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cc1ccc(/N=C/c2ccccc2N)cc1,,F[P-](F)(F)(F)(F)F,Ir9,13.98,0.16,,,,,,A549,48.0,10.1039/d3dt03700b,2024,
4334,COc1c[c-]c(-c2ccccn2)cc1,COc1c[c-]c(-c2ccccn2)cc1,Cc1ccc(/N=C/c2ccccc2N)cc1,,F[P-](F)(F)(F)(F)F,Ir10,16.09,0.21,,,,,,A549,48.0,10.1039/d3dt03700b,2024,
4335,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,COc1ccc(/N=C/c2ccccc2N)cc1,,F[P-](F)(F)(F)(F)F,Ir11,14.28,0.09,,,,,,A549,48.0,10.1039/d3dt03700b,2024,
4336,COc1c[c-]c(-c2ccccn2)cc1,COc1c[c-]c(-c2ccccn2)cc1,COc1ccc(/N=C/c2ccccc2N)cc1,,F[P-](F)(F)(F)(F)F,Ir12,15.69,0.27,,,,,,A549,48.0,10.1039/d3dt03700b,2024,
4337,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CC(C)(C)c1ccc(/N=C/c2ccccc2[NH-])cc1,,,Ir1,17.05,0.19,,,,,,A549cisR,48.0,10.1039/d3dt03700b,2024,
4338,COc1c[c-]c(-c2ccccn2)cc1,COc1c[c-]c(-c2ccccn2)cc1,CC(C)(C)c1ccc(/N=C/c2ccccc2[NH-])cc1,,,Ir2,16.09,0.08,,,,,,A549cisR,48.0,10.1039/d3dt03700b,2024,
4339,Cc1c[c-]c(-c2ccccn2)cc1,Cc1c[c-]c(-c2ccccn2)cc1,CC(C)(C)c1ccc(/N=C/c2ccccc2[NH-])cc1,,,Ir3,16.23,0.08,,,,,,A549cisR,48.0,10.1039/d3dt03700b,2024,
4340,Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,CC(C)(C)c1ccc(/N=C/c2ccccc2[NH-])cc1,,,Ir4,15.04,0.09,,,,,,A549cisR,48.0,10.1039/d3dt03700b,2024,
4341,FC(F)(F)c1c[c-]c(-c2ccccn2)cc1,FC(F)(F)c1c[c-]c(-c2ccccn2)cc1,CC(C)(C)c1ccc(/N=C/c2ccccc2[NH-])cc1,,,Ir5,16.04,0.36,,,,,,A549cisR,48.0,10.1039/d3dt03700b,2024,
4342,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cc1ccc(/N=C/c2ccccc2[NH-])cc1,,,Ir6,17.31,0.19,,,,,,A549cisR,48.0,10.1039/d3dt03700b,2024,
4343,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CC(C)(C)c1ccc(/N=C/c2ccccc2N)cc1,,F[P-](F)(F)(F)(F)F,Ir7,19.63,0.14,,,,,,A549cisR,48.0,10.1039/d3dt03700b,2024,
4344,COc1c[c-]c(-c2ccccn2)cc1,COc1c[c-]c(-c2ccccn2)cc1,CC(C)(C)c1ccc(/N=C/c2ccccc2N)cc1,,F[P-](F)(F)(F)(F)F,Ir8,17.48,0.11,,,,,,A549cisR,48.0,10.1039/d3dt03700b,2024,
